OA Code,Ward Name,LA Name,Region Name,QS606EW0096,QS606EW0001 (base),OA Percentage
E00167235,St Dunstan's and Stepney Green,Tower Hamlets,London,16,146,10.9600,
E00167206,Mile End and Globe Town,Tower Hamlets,London,20,146,13.7000,
E00021332,Bromley-by-Bow,Tower Hamlets,London,29,142,20.4200,
E00167180,Blackwall and Cubitt Town,Tower Hamlets,London,7,130,5.3800,
E00021577,St Dunstan's and Stepney Green,Tower Hamlets,London,8,108,7.4100,
E00021211,Bethnal Green South,Tower Hamlets,London,24,194,12.3700,
E00021290,Bow East,Tower Hamlets,London,16,115,13.9100,
E00021447,Mile End and Globe Town,Tower Hamlets,London,11,185,5.9500,
E00021192,Bethnal Green South,Tower Hamlets,London,18,116,15.5200,
E00021185,Bethnal Green South,Tower Hamlets,London,14,166,8.4300,
E00167109,Blackwall and Cubitt Town,Tower Hamlets,London,6,152,3.9500,
E00021379,East India and Lansbury,Tower Hamlets,London,11,116,9.4800,
E00021461,Mile End and Globe Town,Tower Hamlets,London,5,127,3.9400,
E00021256,Blackwall and Cubitt Town,Tower Hamlets,London,5,155,3.2300,
E00021463,Mile End and Globe Town,Tower Hamlets,London,16,159,10.0600,
E00021622,St Katharine's and Wapping,Tower Hamlets,London,5,202,2.4800,
E00167256,St Dunstan's and Stepney Green,Tower Hamlets,London,10,179,5.5900,
E00021168,Bethnal Green North,Tower Hamlets,London,13,319,4.0800,
E00167142,Blackwall and Cubitt Town,Tower Hamlets,London,6,342,1.7500,
E00021171,Bethnal Green North,Tower Hamlets,London,33,252,13.1000,
E00021172,Bethnal Green North,Tower Hamlets,London,9,138,6.5200,
E00021750,Whitechapel,Tower Hamlets,London,23,139,16.5500,
E00021731,Weavers,Tower Hamlets,London,8,158,5.0600,
E00021716,Weavers,Tower Hamlets,London,7,108,6.4800,
E00021715,Weavers,Tower Hamlets,London,11,149,7.3800,
E00021764,Whitechapel,Tower Hamlets,London,18,243,7.4100,
E00021631,St Katharine's and Wapping,Tower Hamlets,London,5,230,2.1700,
E00021753,Whitechapel,Tower Hamlets,London,16,96,16.6700,
E00021214,Bethnal Green South,Tower Hamlets,London,25,182,13.7400,
E00021177,Bethnal Green North,Tower Hamlets,London,9,140,6.4300,
E00021295,Bow West,Tower Hamlets,London,12,212,5.6600,
